,0
GMS_pds_l40_dw,6.085970722487484
Blocks,1.6735505492088338
Freshness_Factor,1.5537939223071058
Day_Freshness%,1.5343740689129084
GMS_per_constr_avg_past_diff_from_RPB,1.5170704248834692
Unique_Answers,0.925846592656567
Rebus_Unique,0.8386732601856409
Rebus_Count,0.4807027576056366
Scrabble_Illegal,0.10170815468456325
Open_Squares,0.009761094741011006
AWL,-0.12627915717389548
Scrabble_Score,-0.2677644405956355
Overall_Freshness%,-0.482894520305341
GMS_npds_prior_solves_ct,-0.8256657409826729
GMS_pds_prior_solves_ct,-0.8256657409826809
Shade_Count,-1.3238293294636407
Cheater_Squares,-1.8430103524734245
GMS_pds_l40_stdev,-2.8840417490133348
