,0
Freshness_Factor,1.4813634824338149
GMS_pds_l40_dw,1.0451919226744424
GMS_per_constr_avg_past_diff_from_RPB,1.0183110750401008
Day_Freshness%,0.8471997940797017
Words,0.7457103900658991
Unique_Answers,0.6851204334594593
Circle_Count,0.4106128269195365
Shade_Count,0.27345042325450303
Rebus_Unique,0.19530047435494868
Rebus_Count,0.1870997019280574
GMS_pds_l40_stdev,0.17510670814566662
Blocks,0.12813691164113836
GMS_npds_prior_solves_ct,-0.15324706096715127
GMS_pds_prior_solves_ct,-0.1532470609671548
Scrabble_Score,-0.19040219433703906
Scrabble_Illegal,-0.27332871171160233
Unused_Letters,-0.4170684949569742
Cross_Ref_Clues,-0.41939803669207343
Cheater_Squares,-0.5995829276943453
Overall_Freshness%,-1.581764999266808
