,0
GMS_npds_prior_solves_ct,436.07545022118006
GMS_pds_l40_dw,6.111830050754894
Freshness_Factor,1.7120512164785762
GMS_per_constr_avg_past_diff_from_RPB,0.7150148598716181
Wordplay,0.5100964035063252
Words,0.4513416677891149
Open_Squares,0.2685153508597698
Unique_Answers,0.24407743234767013
Rebus_Count,0.21550927634484696
Circle_Count,0.1818026049823175
Shade_Count,0.14567002233915402
Blocks,0.14445066442537363
Rebus_Unique,0.1285841475527445
Scrabble_Score,0.10730213636924504
FITB,0.0524686927208553
Cross_Ref_Clues,-0.022093769887327114
AWL,-0.14042472569143435
Overall_Freshness%,-0.14834770292793284
Scrabble_Illegal,-0.18115582368961264
Cheater_Squares,-0.34314801098375874
GMS_pds_l40_stdev,-1.5915823744005175
GMS_pds_prior_solves_ct,-436.6686471742771
