,0
GMS_pds_l40_dw,5.920957134380397
DOW_num,1.82179905805185
Freshness_Factor,1.688887717165614
GMS_per_constr_avg_past_diff_from_RPB,0.7261871915325846
Words,0.5036716525711658
Unique_Answers,0.27684128518410794
Open_Squares,0.2037628556194586
Rebus_Count,0.19994553119581934
Circle_Count,0.17385597678166123
Rebus_Unique,0.1478633011288888
Blocks,0.1403341698698916
Shade_Count,0.13163179282969575
Scrabble_Score,0.11057880185124258
FITB,0.03131747237618094
AWL,-0.06736838635374302
Scrabble_Illegal,-0.18350235221333944
Overall_Freshness%,-0.21838458564106253
GMS_npds_prior_solves_ct,-0.30060515561017137
GMS_pds_prior_solves_ct,-0.3064818756656647
Cheater_Squares,-0.35284869276121417
GMS_pds_l40_stdev,-1.5113257215471474
